VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
9074,104,2,1353_01,3398,0.0052297955540765535,52.317818,21.032608
9074,104,2,1175_02,3365,0.009265131079227487,52.330559,21.032423
9074,104,2,1176_01,2,0.005103997155517117,52.334843,21.033428
9074,104,2,1175_01,3583,0.006999979070584848,52.330158,21.032248
9074,104,2,1173_01,3367,0.00499319312748664,52.322659,21.032505
9074,104,2,1353_02,3393,0.0023551272452830697,52.317616,21.033392
9074,104,2,1510_01,3334,0.0028227418921285513,52.307419,21.033926
9074,104,2,1168_01,3290,0.006347796224880741,52.306484,21.029903
9074,104,2,1260_03,3319,0.0076140987364034405,52.298885,21.032524
9074,104,2,1150_01,3326,0.006940057165261314,52.296009,21.032925
9227,815,571,4176_01,7,0.003059884538638255,52.119065,20.9441665
9502,121,2,6005_13,6,0.007327555199745085,52.2720065,20.968154167
9502,121,2,6005_01,46,0.004690680795494689,52.2716995,20.971985167
9502,121,2,6005_06,71,0.003982165443045645,52.272472667,20.973972333
9502,121,2,6134_02,66,0.007621712300838879,52.2773475,20.970067
9502,121,2,6137_02,11,0.005254300239407916,52.279861333,20.973632833
9502,121,2,6136_02,6,0.0027254321207828107,52.2823925,20.972314167
9502,121,2,6085_04,1,0.0010979991285553895,52.283604833,20.966172
9502,121,2,6048_06,746,0.00994074004351722,52.272526833,20.925185333
9502,121,2,6049_02,11,0.007388466974397226,52.276271667,20.923301333
9552,715,61,4015_13,405,0.006078475064005744,52.175239,20.943846833
9552,715,61,4019_02,40,0.007948209624757525,52.163958667,20.930560167
1045,204,06,1085_13,2,0.0033704969606105028,52.2935583,21.0310117
1045,204,06,1183_03,893,0.001183107753736212,52.3251433,21.0628317
1045,204,06,1182_04,94,0.0033196262399246687,52.3237567,21.0682133
1051,208,2,4154_01,1295,0.008622054081243145,52.213681,20.969203
1051,208,2,4005_10,1795,0.009081846960579745,52.210338,20.975671
1051,208,2,4006_02,15,0.00607854640492945,52.205393,20.971433
1051,208,2,4007_02,1613,0.006464172142614717,52.203088,20.969404
1051,208,2,4047_03,1492,0.007371379561262454,52.205694,20.943425
1051,208,2,4051_01,1372,0.007494788543890904,52.212629,20.953468
1051,208,2,4312_01,1473,0.003834853989269968,52.202829,20.949365
1063,108,399,3037_01,29,0.004546290881202202,52.177933,21.029541
1063,108,399,3038_01,13,0.0004900936938719853,52.176918,21.035898
1063,108,399,3039_02,156,0.006486510253905999,52.175972,21.044678
1063,108,399,3094_01,141,0.00026087299349116395,52.177746,21.048758
1063,108,399,3093_01,6,0.009479421990904846,52.180378,21.053839
1063,108,399,3078_01,3468,0.0008999438979757201,52.194965,21.087824
1063,108,399,3076_01,3246,0.00528591010209409,52.198746,21.08127
1063,108,399,3074_02,1,0.009806161193358514,52.203037,21.075665
1063,108,399,3071_02,7,0.00724463613094073,52.211769,21.074125
1063,108,399,3070_02,2,0.0011140346932204865,52.212387,21.067806
1063,108,399,3388_01,2477,0.006228738744400775,52.21225,21.063557
1063,108,399,3388_02,6,0.004748307524064953,52.212242,21.063463
1063,108,399,3069_02,2,0.0006521392983907203,52.213123,21.057684
1063,108,399,3057_03,2127,0.00989658301234317,52.211849,21.048231
1063,108,399,3057_02,44,0.004389798633379407,52.212349,21.047302
1063,108,399,7072_01,1581,0.008421670349916107,52.217018,21.038095
1063,108,399,7072_02,108,0.003843598495476525,52.2174732,21.0375942
1063,108,399,7071_03,1432,0.00878069638300183,52.22118,21.036089
1063,108,399,7070_02,56,0.007783942882165866,52.225468,21.034458
1063,108,399,7069_04,17,0.0017846632149194645,52.230171,21.029579
1063,108,399,7040_06,94,0.006744930545211168,52.228394,21.023483
1220,739,07,3795_01,390,0.009771382177453951,52.080559,21.039774
1220,739,07,3275_02,2,0.003363452030978809,52.100979,21.052774
1220,739,07,3348_02,5,0.009240971551483424,52.102333,21.049965
1220,739,07,3009_17,224,0.00802642653433929,52.179836,21.024338
1845,730,52,2296_01,30,0.0012796368038849567,52.222941,21.2485225
1845,730,52,2295_01,0,0.0029036036379151147,52.2232433,21.2382808
1845,730,52,2015_06,1,0.006779175845230668,52.2347591,21.1255633
20174,L50,2,2884_01,32,0.006560649722209874,52.1355748,21.2516043
20174,L50,2,2354_01,1517,0.0051081561048895545,52.1282763,21.2402536
20174,L50,2,2351_02,0,0.0025196357308123873,52.1494321,21.2229886
20174,L50,2,2048_07,15,0.00942483155025385,52.1601185,21.2109618
20174,L50,2,2353_03,1,0.0015209824693744208,52.1366146,21.2344075
20174,L50,2,2367_01,30,0.008578409136770278,52.1673723,21.2952041
20174,L50,2,2325_01,8,0.0022447379630297767,52.1726793,21.2932018
20174,L50,2,2380_01,1563,0.007132099095936215,52.183968,21.3053138
20174,L50,2,2381_01,1456,0.007918510083679406,52.1866796,21.3126865
20174,L50,2,2383_02,35,0.0052743839047567275,52.1902811,21.3485226
20174,L50,2,2874_02,29,0.0014498609172711348,52.1797128,21.3763745
20174,L50,2,2875_01,157,0.00832548202312204,52.1752996,21.3728613
2209,191,6,4101_03,2249,0.0035279441433809055,52.203415,20.926115
2209,191,6,4092_02,1607,0.0065977740762653905,52.200253,20.914495
2209,191,6,4094_01,1000,0.008598136732693842,52.192856,20.908804
3419,Z26,1,5008_01,2238,0.0057943957707526,52.2294691,20.9513616
3419,Z26,1,5005_02,353,0.0072896934584331064,52.233445,20.9652888
3419,Z26,1,5006_01,1243,0.0023093712895305638,52.2318505,20.9593831
3419,Z26,1,5007_02,1913,0.009996763571020546,52.230749,20.954674
3419,Z26,1,5008_02,1918,0.009016414168492064,52.229797,20.9516946
3419,Z26,1,5010_04,1828,0.008003871286313179,52.2255955,20.9375641
3419,Z26,1,5021_06,1741,0.005645327242286625,52.223998,20.929606
4201,207,3,4217_05,1830,0.009229178911209779,52.194931,20.885267
4201,207,3,4127_01,1464,0.009743092567947286,52.199142,20.878481
4201,207,3,4216_07,504,0.008483997332907266,52.202507,20.895121
4201,207,3,4216_03,0,0.006321032614257856,52.200375,20.893095
4201,207,3,4127_02,3248,0.0058186586208604976,52.199471,20.877707
5203,706,1,4016_01,3459,0.0038137504579917815,52.1719394,20.9396322
5203,706,1,4015_16,709,0.007135792877864811,52.175341,20.9432892
5203,706,1,4016_02,19,0.008902390301042337,52.1707855,20.9377007
5203,706,1,4019_02,9,0.005723681462241223,52.1639503,20.9304891
5203,706,1,4155_02,3589,0.0025166125883846514,52.1588463,20.9251593
5203,706,1,4156_02,3569,0.001279282794880718,52.155118,20.921254
5203,706,1,4157_02,29,0.005291749782445983,52.153303,20.919388
5203,706,1,4158_02,59,0.0023509874691405633,52.150638,20.916585
5203,706,1,4159_02,19,0.005527680174988469,52.1459637,20.9104581
5203,706,1,4166_02,3589,0.0004317540417344814,52.1396562,20.9021487
5203,706,1,4064_01,9,0.0017003122939751052,52.1326103,20.8951702
5203,706,1,4064_03,3589,0.008242139684336465,52.1339917,20.8939108
5203,706,1,4165_02,3599,0.003639726555930034,52.1378674,20.9018048
5203,706,1,4164_02,9,0.003063704533553084,52.1340175,20.9163365
5203,706,1,4163_01,3569,0.0031022660708992364,52.1333386,20.9195001
5203,706,1,4162_01,3529,0.0009938030144806208,52.1368445,20.9233765
5203,706,1,4161_01,3519,0.003765831883958788,52.138582,20.9195284
5214,713,3,5014_02,28,0.0012028982599309027,52.2170657,20.9015104
5214,713,3,5138_01,18,0.0036017513314356227,52.2144761,20.7446181
5253,188,6,4201_02,30,0.0018167866096520057,52.1706904,20.9737711
5253,188,6,4029_03,20,0.006254664208787784,52.2162828,20.9914294
5253,188,6,2112_01,1250,0.00864304259435497,52.2501705,21.0874444
5451,112,2,1234_04,9,0.004793290301103172,52.3044482,21.0823554
5451,112,2,1085_10,2901,0.005819073383768679,52.293785,21.03252
5920,175,410,7027_06,70,0.009956337364814456,52.243198,21.012781
70042,L-1,2,4064_01,159,0.008028134438650582,52.1325578,20.8950873
7889,202,541,2118_02,149,0.008426288270931979,52.2518559,21.0659453
7889,202,541,2117_01,2391,0.0025585724164957587,52.250531,21.0664218
7889,202,541,2413_04,129,0.006348141431539448,52.2502248,21.0715808
7889,202,541,2116_04,134,0.0056231155305555836,52.2501236,21.0748791
7889,202,541,2115_01,155,0.005938174201366055,52.2503795,21.0780061
7889,202,541,2114_02,150,0.0052437259187074646,52.2504028,21.0818403
7889,202,541,2111_02,117,0.004590963240229692,52.2494524,21.0930318
7889,202,541,2110_02,104,0.0023574193260119114,52.2479455,21.0983643
7889,202,541,2109_03,1019,0.005760787879317247,52.2463463,21.1046799
7889,202,541,2397_01,612,0.007119498820701283,52.2425546,21.1234156
7889,202,541,2259_01,17,0.005190891660059592,52.240205,21.128683
7889,202,541,2109_04,3334,0.007407142159862698,52.24609,21.105785
7889,202,541,2120_14,1690,0.00787441176255413,52.250378,21.054533
80104,L47,02,2841_01,11,0.005240210072939489,52.2572875,21.2997954
80104,L47,02,2843_01,1714,0.0027638085702772867,52.2525456,21.2988779
80104,L47,02,2838_02,1430,0.0072214220989105906,52.2511411,21.303035
80104,L47,02,2836_02,1234,0.008424666001764038,52.2441832,21.3003475
80104,L47,02,2435_01,1012,0.00888214551754514,52.2414895,21.2978014
80104,L47,02,2435_02,28,0.0049122640738091805,52.241497,21.2982104
80104,L47,02,2436_02,8,0.0022579605825198477,52.2418442,21.3033962
80104,L47,02,2831_02,10,0.007968095359488798,52.2433948,21.3059326
80104,L47,02,2832_04,25,0.008326925442642614,52.2454009,21.3090124
80104,L47,02,2461_02,17,0.009429138769982215,52.2451143,21.3161321
80104,L47,02,2436_01,19,0.00857246082804075,52.2417921,21.3035437
80104,L47,02,2837_02,325,0.006979798554719157,52.2486789,21.3025812
80104,L47,02,2840_01,1755,0.009151702501045574,52.2573226,21.3036614
80104,L47,02,2842_01,1734,0.0032949446224415967,52.2544553,21.2989687
80104,L47,02,2835_02,42,0.009552288925232114,52.2461172,21.3121767
80104,L47,02,2844_01,1712,0.0016087081437237748,52.243413,21.2949635
80104,L47,02,2839_02,1757,0.0014338774383365889,52.254937,21.3039617
80106,L47,1,2436_01,31,0.005089265663024955,52.2418751,21.303455
80106,L47,1,2435_01,1771,0.0011312793626642868,52.2415741,21.2978211
80106,L47,1,2837_02,271,0.0034233998239309414,52.248659,21.3025303
80106,L47,1,2842_01,1711,0.0037349674976707523,52.2544715,21.299004
80106,L47,1,2844_01,1711,0.004688888491849701,52.2434386,21.2949876
80106,L47,1,2841_01,1711,0.006311164175471813,52.25727,21.2997661
